常看 联通v25.10.03.622,#genre#
CCTV1高清,http://192.168.2.88:8888/udp/239.253.244.77:8000
CCTV2高清,http://192.168.2.88:8888/udp/239.253.244.234:8000
CCTV3高清,http://192.168.2.88:8888/udp/239.253.244.191:8000
CCTV6高清,http://192.168.2.88:8888/udp/239.253.244.193:8000
CCTV8高清,http://192.168.2.88:8888/udp/239.253.244.194:8000
CCTV12高清,http://192.168.2.88:8888/udp/239.253.244.237:8000
CCTV13高清,http://192.168.2.88:8888/udp/239.253.244.14:8000
济宁综合,http://192.168.2.88:8888/udp/239.253.244.254:8000
山东卫视高清,http://192.168.2.88:8888/udp/239.253.244.78:8000
湖南卫视高清,http://192.168.2.88:8888/udp/239.253.244.82:8000
浙江卫视高清,http://192.168.2.88:8888/udp/239.253.244.84:8000
东方卫视高清,http://192.168.2.88:8888/udp/239.253.244.86:8000
江苏卫视高清,http://192.168.2.88:8888/udp/239.253.244.83:8000
北京卫视高清,http://192.168.2.88:8888/udp/239.253.244.85:8000
央视,#genre#
CCTV1高清,http://192.168.2.88:8888/udp/239.253.244.77:8000
CCTV2高清,http://192.168.2.88:8888/udp/239.253.244.234:8000
CCTV3高清,http://192.168.2.88:8888/udp/239.253.244.191:8000
CCTV4高清,http://192.168.2.88:8888/udp/239.253.244.111:8000
CCTV4中文国际欧洲,http://192.168.2.88:8888/udp/239.253.244.186:8000
CCTV4中文国际美洲,http://192.168.2.88:8888/udp/239.253.244.187:8000
CCTV5高清,http://192.168.2.88:8888/udp/239.253.244.192:8000
CCTV5+高清,http://192.168.2.88:8888/udp/239.253.244.80:8000
CCTV6高清,http://192.168.2.88:8888/udp/239.253.244.193:8000
CCTV7高清,http://192.168.2.88:8888/udp/239.253.244.235:8000
CCTV8高清,http://192.168.2.88:8888/udp/239.253.244.194:8000
CCTV9高清,http://192.168.2.88:8888/udp/239.253.244.79:8000
CCTV10高清,http://192.168.2.88:8888/udp/239.253.244.236:8000
CCTV11高清,http://192.168.2.88:8888/udp/239.253.244.12:8000
CCTV12高清,http://192.168.2.88:8888/udp/239.253.244.237:8000
CCTV13高清,http://192.168.2.88:8888/udp/239.253.244.14:8000
CCTV15高清,http://192.168.2.88:8888/udp/239.253.244.16:8000
CCTV17农业高清,http://192.168.2.88:8888/udp/239.253.244.168:8000
山东,#genre#
山东卫视高清,http://192.168.2.88:8888/udp/239.253.244.78:8000
齐鲁高清,http://192.168.2.88:8888/udp/239.253.244.18:8000
山东文旅高清,http://192.168.2.88:8888/udp/239.253.244.19:8000
山东生活高清,http://192.168.2.88:8888/udp/239.253.244.20:8000
山东综艺高清,http://192.168.2.88:8888/udp/239.253.244.21:8000
山东体育高清,http://192.168.2.88:8888/udp/239.253.244.22:8000
山东新闻高清,http://192.168.2.88:8888/udp/239.253.244.23:8000
山东农科高清,http://192.168.2.88:8888/udp/239.253.244.24:8000
山东少儿高清,http://192.168.2.88:8888/udp/239.253.244.25:8000
山东教育卫视高清,http://192.168.2.88:8888/udp/239.253.244.59:8000
济宁,#genre#
济宁综合,http://192.168.2.88:8888/udp/239.253.244.254:8000
济宁生活,http://192.168.2.88:8888/udp/239.253.244.253:8000
济宁公共,http://192.168.2.88:8888/udp/239.253.244.248:8000
济宁高新,http://192.168.2.88:8888/udp/239.253.244.244:8000
任城1,http://192.168.2.88:8888/udp/239.253.244.242:8000
任城2,http://192.168.2.88:8888/udp/239.253.244.243:8000
