常看 多源综合v26.1.31,#genre#
CCTV1综合,http://192.168.2.88:8888/udp/239.253.244.77:8000
CCTV1综合,http://192.168.3.55:3566/608807420
CCTV1综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8
CCTV2财经,http://192.168.2.88:8888/udp/239.253.244.234:8000
CCTV2财经,http://192.168.3.55:3566/631780532
CCTV2财经,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV3综艺,http://192.168.2.88:8888/udp/239.253.244.191:8000
CCTV3综艺,http://192.168.3.55:3566/624878271
CCTV3综艺,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000359/index.m3u8
CCTV6电影,http://192.168.2.88:8888/udp/239.253.244.193:8000
CCTV6电影,http://192.168.3.55:3566/624878396
CCTV6电影,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000361/index.m3u8
CCTV8电视剧,http://192.168.2.88:8888/udp/239.253.244.194:8000
CCTV8电视剧,http://192.168.3.55:3566/624878356
CCTV8电视剧,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000362/index.m3u8
CCTV12社会与法,http://192.168.2.88:8888/udp/239.253.244.237:8000
CCTV12社会与法,http://192.168.3.55:3566/673168185
CCTV12社会与法,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000322/index.m3u8
CCTV13新闻,http://192.168.2.88:8888/udp/239.253.244.14:8000
CCTV13新闻,http://192.168.3.55:3566/608807423
CCTV13新闻,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000345/index.m3u8
济宁综合,http://192.168.2.88:8888/udp/239.253.244.254:8000
济宁综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000240/index.m3u8
山东卫视,http://192.168.2.88:8888/udp/239.253.244.78:8000
山东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000051/index.m3u8
山东卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000301/index.m3u8
湖南卫视,http://192.168.2.88:8888/udp/239.253.244.82:8000
湖南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000324/index.m3u8
湖南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000017/index.m3u8
浙江卫视,http://192.168.2.88:8888/udp/239.253.244.84:8000
